,zipcode,STATEFIPS,N1,MARS2,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N07100,A07100,N07220,A07220,N07180,A07180,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N09600,A09600,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902,ds
0,19930,10.0,225.66666666666666,112.66666666666667,124.66666666666667,363.1666666666667,36.166666666666664,19121.5,123.0,6072.5,155.83333333333334,472.8333333333333,122.83333333333333,889.0,116.83333333333333,620.8333333333334,39.666666666666664,966.6666666666666,0.0001,102.66666666666667,539.0,81.16666666666667,2236.8333333333335,115.5,5012.0,13.500050000000002,74.16671666666666,109.66666666666667,1788.6666666666667,4.8334166666666665,68.00008333333334,110.83333333333333,3230.1666666666665,93.33333333333333,647.0,3.3334166666666665,1.0000833333333332,103.83333333333333,368.6666666666667,109.83333333333333,1046.8333333333333,79.16666666666667,1055.0,102.0,437.8333333333333,186.16666666666666,13886.666666666666,63.666666666666664,43.833333333333336,7.333400000000001,10.166733333333335,0.0001,0.0001,9.166733333333335,9.833400000000001,10.000016666666667,11.000016666666667,6.83335,8.166683333333333,3.6667,4.1667,13.833383333333332,84.50005,177.83333333333334,2644.5,186.0,2779.5,66.33333333333333,359.6666666666667,128.16666666666666,331.6666666666667,2011-12
1,19940,10.0,423.33335000000005,169.50001666666665,234.33335,877.33335,308.5000166666667,18099.00001666667,365.16668333333337,13754.500016666667,118.33335,178.50001666666665,57.16668333333333,84.50001666666667,49.833349999999996,61.50001666666666,61.833349999999996,420.33335000000005,8.833400000000003,33.66668333333333,70.66668333333332,36.00001666666667,404.66668333333337,78.50001666666667,1271.6666833333334,45.66669999999999,307.0000333333333,50.333349999999996,517.5000166666667,0.0001,0.0001,112.16668333333332,2231.6666833333334,105.66668333333332,482.33335000000005,0.0001,0.0001,101.33335,124.50001666666667,111.33335,616.33335,97.83335,996.1666833333334,83.16668333333332,233.16668333333334,318.0000166666667,10749.500016666667,131.50001666666665,148.00001666666665,81.50001666666667,99.66668333333332,24.000033333333334,13.000033333333334,10.666733333333335,2.5000666666666667,98.66668333333332,229.50001666666665,88.00001666666667,204.16668333333334,68.66669999999999,89.00003333333332,0.0001,0.0001,278.6666833333333,1477.3333499999999,305.83335,1584.3333499999999,61.16668333333333,149.33335,347.5000166666667,904.33335,2011-12
2,19941,10.0,184.33335,58.833349999999996,80.83335,375.83335000000005,140.83335,6517.166683333333,163.66668333333334,4968.83335,39.00001666666667,31.33335,14.000050000000002,26.16671666666667,12.333383333333336,14.666716666666668,20.333383333333334,180.83338333333333,0.0001,10.833383333333336,9.333383333333336,12.000050000000002,98.00004999999999,30.666700000000002,516.3333666666667,22.00005,118.00004999999999,18.50006666666667,165.00006666666664,0.0001,0.0001,38.66668333333333,666.0000166666667,36.33336666666667,110.33336666666666,0.0001,0.0001,32.33336666666667,34.1667,38.16668333333333,148.66668333333334,30.833366666666667,289.1667,27.833366666666667,78.83336666666666,131.16668333333334,3579.3333500000003,57.66668333333333,56.66668333333333,37.33336666666667,39.33336666666667,7.166733333333336,3.666733333333333,0.0001,0.0001,61.16668333333333,137.33335,53.50001666666666,125.50001666666667,40.33336666666667,49.833366666666656,0.0001,0.0001,107.83335,465.5000166666667,120.00001666666667,515.1666833333334,20.333366666666667,42.33336666666667,159.00001666666665,434.33335000000005,2011-12
3,19945,10.0,549.8333333333334,200.83335,286.5000166666667,1086.5,371.66668333333337,21666.666666666668,441.83335000000005,14172.33335,180.33335,247.16668333333334,93.16668333333332,258.0000166666667,84.33335,166.16668333333334,89.66668333333332,924.83335,8.333400000000003,67.33335,91.33335,59.50001666666666,853.83335,123.66668333333332,2909.1666833333334,55.16668333333333,282.0000166666667,88.00001666666667,938.5000166666667,0.0001,0.0001,140.16666666666666,2731.1666666666665,123.5,423.8333333333333,0.0001,0.0001,125.83333333333333,175.33333333333334,137.83333333333334,610.0,117.66668333333332,1228.1666833333334,103.00001666666667,272.33335,396.1666666666667,12579.0,158.83335,150.66668333333334,85.83333333333333,87.66666666666667,24.166700000000002,11.833366666666668,13.833383333333336,8.500050000000002,115.33333333333333,246.16666666666666,96.66666666666667,212.0,100.83336666666666,138.50003333333333,0.0001,0.0001,336.3333333333333,1775.0,373.6666666666667,1940.5,90.16668333333332,251.16668333333334,437.33335000000005,1067.6666833333334,2011-12
4,19956,10.0,1168.1666666666667,423.8333333333333,649.6666666666666,2435.8333333333335,905.5,45077.166666666664,993.3333333333334,33541.666666666664,314.0,506.3333333333333,147.5,309.3333333333333,132.0,225.5,148.16668333333334,1064.5000166666666,30.000033333333334,93.5,451.6666666666667,94.16668333333332,954.5000166666667,225.00001666666665,3978.000016666667,117.66668333333332,706.6666833333334,142.16668333333334,1462.8333499999999,0.0001,0.0001,255.0,4531.333333333333,232.66666666666666,845.3333333333334,0.0001,0.0001,225.66666666666666,220.5,250.33333333333334,1079.6666666666667,218.16666666666666,1964.5,189.5,615.5,859.0,26006.666666666668,369.33335000000005,376.66668333333337,223.33333333333334,240.0,55.333349999999996,31.166683333333335,27.666700000000002,9.333366666666668,303.5,709.8333333333334,272.0,643.8333333333334,243.16668333333334,339.6666833333333,5.00005,21.66671666666667,715.5,3507.1666666666665,779.5,3754.5,147.33333333333334,420.6666666666667,988.33335,2654.0000166666664,2011-12
5,19960,10.0,514.33335,168.16668333333334,240.83335,1154.6666833333334,497.0000166666667,19143.33335,448.33335000000005,15076.166683333335,122.83335,110.16668333333332,47.50001666666666,97.83335,42.16668333333333,60.16668333333333,65.83335,514.6666833333334,3.3334166666666665,33.50001666666667,83.16668333333332,37.00001666666667,459.83335000000005,89.16668333333332,1545.1666833333331,52.833366666666656,266.1667,52.333349999999996,538.6666833333334,0.0001,0.0001,132.50001666666665,2279.33335,118.00001666666667,341.1666833333333,0.0001,0.0001,115.66668333333332,120.33335,130.50001666666665,483.33335000000005,115.16668333333332,1059.1666833333334,92.66668333333332,320.83335,379.83335000000005,10481.666683333333,178.00001666666665,188.33335,123.16668333333332,132.33335,24.000033333333334,13.000033333333334,12.333383333333336,4.333383333333333,127.66668333333332,310.6666833333333,118.33335,280.83335,130.83338333333333,210.00005,0.0001,0.0001,294.83335,1315.1666833333334,325.33335,1413.0000166666666,59.66668333333333,122.00001666666667,443.0000166666667,1305.6666833333334,2011-12
6,19966,10.0,1935.1666666666667,779.8333333333334,951.8333333333334,3668.0,1037.0,85015.33333333333,1506.5,51904.0,716.3333333333334,1095.6666666666667,364.3333333333333,1054.3333333333333,328.5,657.0,220.16666666666666,2124.8333333333335,14.666733333333335,250.16666666666666,896.1666666666666,281.3333333333333,4044.0,602.3333333333334,13903.333333333334,199.00001666666665,1264.1666833333334,425.5,5002.5,4.3334166666666665,56.166749999999986,498.5,9823.166666666666,443.1666666666667,1718.0,9.500066666666669,6.500066666666669,447.5,720.3333333333334,493.0,2501.1666666666665,415.3333333333333,4076.6666666666665,393.1666666666667,1082.8333333333333,1461.3333333333333,52159.833333333336,541.0,492.1666666666667,272.8333333333333,280.1666666666667,73.83335,39.66668333333333,61.66668333333333,38.83335,369.3333333333333,784.1666666666666,329.0,711.1666666666666,286.6666833333333,383.0000166666667,12.50005,65.33338333333333,1276.1666666666667,7829.333333333333,1363.6666666666667,8247.0,314.8333333333333,843.1666666666666,1530.0,3791.8333333333335,2011-12
7,19970,10.0,555.5,260.3333333333333,285.6666666666667,949.6666666666666,167.66666666666666,34787.666666666664,371.0,15779.833333333334,313.8333333333333,542.5,193.16666666666666,768.5,174.33333333333334,513.0,89.33333333333333,1857.8333333333333,0.0001,152.33333333333334,1160.8333333333333,139.16666666666666,2495.1666666666665,238.83333333333334,7804.0,50.00001666666666,297.5000166666667,194.33333333333334,2702.6666666666665,6.000083333333333,92.83341666666666,226.33333333333334,5808.666666666667,191.66666666666666,1116.1666666666667,8.333400000000003,7.333400000000002,210.5,519.3333333333334,222.66666666666666,1663.8333333333333,187.33333333333334,2222.1666666666665,197.16666666666666,549.8333333333334,443.6666666666667,23363.166666666668,136.5,113.83333333333333,40.33335,51.333349999999996,12.833383333333336,6.833383333333334,20.333383333333334,10.166716666666668,52.666666666666664,93.16666666666667,42.833333333333336,79.0,30.500016666666667,34.33335,12.500033333333334,89.33336666666666,412.8333333333333,4093.1666666666665,433.6666666666667,4349.833333333333,126.0,506.0,387.0,869.8333333333334,2011-12
8,20001,11.0,3660.0,427.83336666666673,1479.0,5129.0,1125.6667,232848.0,3317.6666666666665,205733.5,1245.6666666666667,764.6666666666666,699.1666666666666,1760.3333333333333,645.8333333333334,1246.1666666666667,528.6666666666666,7576.166666666667,0.0001,530.5000166666667,2427.3333500000003,101.00003333333332,1379.8333666666667,309.1667166666667,6552.333383333334,211.83336666666665,1444.8333666666667,94.66669999999999,893.1667000000001,28.333366666666667,622.1667,1382.1666833333336,33971.16668333334,1289.1666666666667,10127.833333333334,56.500049999999995,48.33338333333333,864.8333833333335,2423.50005,1376.0000166666669,12767.500016666667,868.0000500000001,12950.833383333336,1043.8333333333333,3396.1666666666665,3091.5,168290.66666666666,914.83335,1041.5000166666666,222.0,203.66666666666666,105.33333333333333,62.5,53.333349999999996,17.500016666666667,540.3334166666668,1006.3334166666668,473.0000833333335,890.6667500000002,304.6667166666667,360.3333833333334,142.8334,608.6667333333334,2822.1666666666665,32417.333333333332,2974.0,33769.333333333336,691.0000333333334,2375.0000333333332,2882.5,7813.666666666667,2011-12
9,20002,11.0,4829.5,683.1666666666666,2068.5,7646.5,2226.8333333333335,289215.3333333333,4232.666666666667,248447.5,1495.6666666666667,972.0,782.6666666666666,1973.6666666666667,706.5,1311.8333333333333,767.0,10315.0,2.166733333333333,562.6666666666666,2092.1666666666665,169.0,2523.8333333333335,579.6666666666666,13909.166666666666,345.16668333333337,2412.83335,207.0,1998.6666666666667,39.000033333333334,981.6667000000001,1810.0,44242.0,1674.8333333333333,12342.0,75.00001666666667,65.33335,1227.5,3314.8333333333335,1800.3333333333333,15990.333333333334,1213.5,16377.333333333334,1486.6666666666667,5837.5,3952.3333333333335,201457.33333333334,1312.6666666666667,1383.8333333333333,433.3333333333333,421.5,236.83333333333334,133.0,115.83333333333333,62.833333333333336,931.8333333333334,1976.5,841.1666666666666,1723.5,549.0000333333334,625.8333666666667,180.66671666666664,816.1667166666666,3570.6666666666665,37597.0,3819.3333333333335,39340.333333333336,832.8333333333334,2780.8333333333335,3887.3333333333335,10556.833333333334,2011-12
