date,values
1/1/97,151303.1667
1/1/98,171935.3333
1/1/99,191445.0833
1/1/00,211803.4167
1/1/01,239471.75
1/1/02,275864.1667
1/1/03,329782.4167
1/1/04,415015.4167
1/1/05,502391.5
1/1/06,546757.4167
1/1/07,542900.8333
1/1/08,478865.75
1/1/09,442437.9167
1/1/10,457747.25
1/1/11,435198.4167
1/1/12,446899.4167
1/1/13,549566.4167
1/1/14,597661.4167
1/1/15,657895.5833
1/1/16,734205.3333
1/1/17,769281
1/1/18,857388.1667
1/1/19,951000.5833
