City,2019
Abbeville,126983.09444685373
Abell,330983.577032211
Aberdeen,186230.79583687184
Abernathy,88239.80716241563
Abingdon,287075.9912661168
Abington,387884.2906996169
Abington Township,329506.1225589448
Absecon,206007.46587821344
Acampo,499704.0744395522
Accident,192201.29600459718
Accokeek,408103.44823202095
Achille,56420.18714448124
Ackley,120255.75163764172
Acton,518263.37257021776
Acushnet,311540.8673180556
Acworth,213493.36003293734
Ada,110099.90505126852
Adair,98755.9163258676
Adairsville,139565.02527342766
Adairville,94723.04069142687
Adams,184575.08695361507
Adams Center,153877.63444042174
Adamstown,485421.4692646604
Adamsville,99795.42120094787
Addison,233279.29182389542
Addy,192368.65483963536
Adel,92275.92277663053
Adelphi,74039.75887360543
Adena,68142.15106513309
Adkins,275880.80516390107
Adona,68677.54287816757
Adrian,90880.05455610734
Affton,158909.0549878215
Afton,331076.34416397003
Agawam,252471.79610131896
Agness,324895.10125261004
Agoura Hills,957812.635447996
Aguanga,334165.4674105392
Aguila,238030.4273453884
Aiea,897637.6848320547
Aiken,158486.97909542642
Airville,204311.54381926352
Airway Heights,191728.04965626253
Ajo,70063.15191869045
Akron,81535.12115993797
Alachua,202735.51074182175
Alameda,880730.2626004107
Alamo,668186.0619454728
Alamosa,169030.96472307006
Albany,215079.54265714873
Albany Township,274385.69048387953
Albemarle,116357.5128802924
Albert City,77828.99066407817
Albertson,412215.8809348151
Albertville,241483.73476747327
Albion,100215.75250155701
Alburnett,191576.46258568985
Alburtis,224746.91485658093
Alcoa,141327.66867762484
Alcolu,99749.06273631004
Alden,199385.78101935465
Alderson,62155.30831484591
Aldie,679382.9368908363
Aledo,369726.11632493814
Alexander,263151.6692448084
Alexandria,427725.6234592309
Alexandria Bay,140453.0414930563
Alger,78041.38693391714
Algonac,184983.7088141443
Algonquin,261902.71939956245
Alhambra,518768.7884296012
Alicia,40802.093699227255
Aliso Viejo,792238.0902002375
Allegan,139582.19558886767
Allegheny Township,133212.98201234548
Alleman,222280.9419238408
Allen,266180.6172176224
Allen Park,110052.70523418067
Allendale,488411.74699365965
Allenhurst,135670.18390413743
Allenport,75407.31323197452
Allenspark,326335.4623995294
Allensville,117250.36889648867
Allentown,118962.60631500925
Allerton,100505.20177997484
Alliance,90179.4950592907
Allons,105603.83930051398
Alma,184265.30852252475
Almo,136876.73080288564
Alna,190475.7757653084
Alpena,100360.09947023418
Alpharetta,397389.81369279965
Alpine,1045954.4424793735
Alsip,178313.44184112508
Alstead,197307.13349996164
Alta,229630.44877438768
Altadena,814717.4868740893
Altamont,86081.6683375166
Altamonte Springs,217467.79081797937
Alto,138060.47456574725
Alton,244456.44567615318
Altoona,130053.51768121953
Altus,61003.555131711124
Alva,250225.87769634672
Alvada,142506.44991312505
Alvin,125886.13495923599
Alvordton,94055.7830668686
Amado,117507.86000669248
Amagansett,2754668.5193775864
Amanda,153352.7929309738
Amber,105366.37789472652
Amboy,405359.20570139994
Ambridge,80281.91632528247
Ambrose,122199.80308629769
Amelia,167735.04114183766
American Canyon,541027.1842032123
American Fork,369516.6910752509
Americus,88359.49185620568
Ames,79195.08428213143
Amesbury,392023.6679302141
Amherst,280242.1239011955
Amherstdale,65697.69854527907
Amissville,417942.342955951
Amity,167836.56295950396
Amity Township,272256.86862368806
Amityville,394230.1923521577
Ammon,237735.59418116
Anacortes,443285.26621583727
Anaheim,650267.6639725587
Anamosa,162995.08579479044
Anchorage,369727.59458852134
Ancona,81262.0193119373
Anderson,143275.3935902196
Andersonville,199125.8812298305
Andover,314225.2062020576
Angelus Oaks,213867.8593023261
Angier,171968.03721180704
Angleton,160234.78516877847
Angwin,780892.9163106816
Ankeny,241324.3345502206
Ann Arbor,376137.04481794965
Anna,155324.03310607758
Anna Maria,1014279.999767123
Annandale,438828.31203285686
Annapolis,648565.5681367689
Ansonia,159555.387880244
Anthem,345467.4662844824
Anthony,118394.59181916706
Anthonyville,98400.04809028584
Antioch,399265.90412766644
Antlers,78751.19553616893
Antwerp,83251.78837934682
Anza,243967.2482501338
Apache Junction,201759.50896788808
Apalachicola,161752.31823256635
Apex,357524.5448128549
Apollo Beach,291247.5189334499
Apopka,221945.03230968624
Apple Creek,186010.87418423087
Apple Valley,248904.49189364375
Applegate,431639.60579756775
Appling,236319.34547285442
Aptos,928052.7594303028
Arab,113634.95442231765
Arabi,123603.33909227556
Aragon,95315.14597078344
Arcadia,454452.1296454829
Arcanum,133215.70789217507
Archbold,124949.38828544361
Archdale,118863.21518066313
Archer,166643.5791966805
Arcola,223062.3464037758
Arden,349229.3359386059
Arden-Arcade,353045.78781741095
Ardmore,195467.9091865958
Ardsley,755681.2480467214
Arendtsville,185467.11224642425
Argos,111608.65364948251
Aristes,44559.70531128
Arivaca,161103.57625560346
Arkadelphia,102163.41618867982
Arkoma,47375.055652922616
Arlington,453864.86090106145
Arlington Heights,378043.56940275047
Armada,208954.0335642497
Armona,160149.61390460964
Armstrong Township,139826.29519487612
Armuchee,138755.20497820413
Arnett,54654.47653836102
Arnold,322090.09870432876
Arnoldsville,168143.10834949565
Aroda,249683.88214431325
Aromas,634085.1818210954
Arrington,362814.31991136575
Arrowsmith,100325.49580110404
Arroyo Grande,713472.9232776272
Artesia,565068.6804887252
Arvada,407875.75422367064
Arvin,162256.36309198837
Ash Flat,88149.34857238783
Ashburn,437992.19549431925
Ashburnham,250669.5302882822
Ashby,272762.0081506321
Asheboro,121165.68663067806
Asher,83571.5655271364
Ashford,122812.60028465856
Ashland,189079.7295364995
Ashland City,164739.30771286026
Ashley,121457.3603354108
