,City,2018
1675,Pittsburgh,192891.19267760788
5343,Pittsburgh,207400.83522917036
699,Richardson,306893.9124348737
1512,Bedford,262493.01207499416
2272,Austin,338958.3530604026
12471,Dover,84329.37373581009
6256,Pittsburgh,193366.61512382168
7709,Eufaula,79821.38960873727
9798,Pollok,140579.56840224445
13846,Gene Autry,89881.60125393109
13313,Creston,159535.27409953115
1367,Fort Worth,279247.01658026763
12074,Newell,141209.71174035643
5659,Pittsburgh,132584.24058357088
11830,Wanette,92466.97379189008
2968,Pittsburgh,181488.74530702727
2112,Lufkin,125312.12519389568
7992,Oklahoma City,239902.69424897648
3207,Lufkin,115213.43924628373
12422,Tryon,81316.85953432617
2269,Highland Village,318225.06356010656
1020,Dallas,444688.65480116993
10920,Haworth,64432.08198609643
13236,Linn Grove,105187.68421657797
13831,Omega,146368.22610336682
8417,Wilburton,61519.568946528125
1780,Austin,377235.3737027704
12373,Coleman,137819.97588705915
11838,Paden,86938.45520297364
3164,Austin,461449.0226246241
10537,Red Rock,236715.11244378056
12246,Milburn,120491.95048004176
12873,Hodgen,61085.1704876991
3974,Buffalo,196132.6479764686
4140,Denton,277123.3854494048
11956,Aurelia,113077.40691399705
7929,Diboll,102239.52965828207
504,Little Elm,269162.415431548
11426,Hinton,212068.46482753032
10120,Crown City,94111.85777744268
11621,Cartwright,99436.13176148248
1492,Flower Mound,343779.9084672283
5575,Leitchfield,102233.7368934738
1660,Roanoke,387800.4505294725
7567,Adkins,262894.8182867389
507,Austin,493470.6276945078
3279,Pittsburgh,147787.24713890665
5723,Buffalo,394796.6676184528
10202,Lily,93870.324087655
24,Cedar Park,313054.7879003708
12846,Mill Creek,75637.53499457682
11126,Okarche,145254.17120481996
13137,Carter,114109.44929355824
4531,Pasadena,216630.36326308397
8000,Lytle,188493.8991790338
13328,Chester,91640.72528501244
7971,Kingfisher,125024.42111519045
13051,Monroe,133165.192062296
10869,Sharon,67091.18767293968
10679,Elmore City,75268.1839516795
9,Pflugerville,249048.48903216372
11080,Freedom,251658.3297576141
11509,Ninnekah,101000.58138806766
5081,London,118470.44562675273
11385,Fort Cobb,76757.39432962393
1116,Dallas,524065.4240645177
3435,Richardson,359781.28906376124
3973,Houston,225316.29912087906
10704,Convoy,102928.10213405582
8472,Wayne,136327.35817668572
10430,Seaman,105174.80718307447
2087,Keller,381689.51274432964
10776,Adairville,90503.43441826817
13856,Parlin,328031.03337190073
12257,Gravel Switch,96664.38560266381
3115,Fort Worth,450100.68295638217
1256,Coppell,416390.1908909257
13651,Carrier,126266.66549111533
2297,Frisco,405941.97241334774
11549,Raccoon,44027.76575001842
4822,Lackawanna,120113.74611167592
6367,Le Mars,163376.79831961615
11803,Liverpool,151819.52130923574
2706,Houston,174822.6438267693
6896,San Marino,1188230.987050277
12566,Darden,87851.64084016027
4914,Dripping Springs,452808.32884331775
13382,Fairmont,90268.26478591804
13038,Castle,93975.68236634998
2971,Austin,1120322.9313333814
434,New York,1282935.4372243446
11179,Allen,76881.82881160054
2419,Brentwood,132086.44602334936
5362,Swissvale,144718.63023008528
8376,Pinehurst,237871.12438651395
2436,Austin,720014.0979425847
5609,Huron,122698.45221422336
59,Dallas,329510.5190636401
1915,Santa Monica,1364811.2308872514
11934,Bennington,111204.9595482091
2309,Katy,236997.99040245128
10788,Stonewall,81916.50808883266
9944,Paige,240120.08169061303
3746,Southlake,734233.7415676903
6349,Carroll,154165.1795183589
12548,Gracemont,89198.49465673756
12687,Olmstead,119932.11005255043
13271,Marathon,85383.87567713144
1785,Buda,267742.0607041463
1356,Oakland,1038664.1644927618
6467,Aspen,4985846.88062736
12692,Verden,60786.125410000146
2628,Pittsburgh,331718.6711658112
1850,Manhattan Beach,1337538.6223589922
4383,Marble Falls,249207.350727605
9741,Hennessey,91602.80045196475
12312,Bath Springs,119950.90005532932
6197,Shaler Township,161318.09471480426
281,Los Angeles,956452.6028422776
911,Los Angeles,1851742.3571572925
12359,Malcolm,240316.13042683929
7281,Beverly Hills,1239432.6313616042
9284,Los Angeles,1383204.2731508815
5466,Conroe,196848.5358570868
8591,Sneedville,84446.85165351021
3807,Bellevue,149430.91264936473
9723,Wister,81445.48829607997
5577,Austin,494127.8128159466
2724,Grandview Heights,364108.52806433477
6492,Pittsburgh,90050.24680980848
6160,Santa Monica,1495465.8580594338
1167,Pearland,248534.64267118086
214,Los Angeles,969533.4732403487
4351,Baytown,292440.6967445214
10285,Goldsby,183186.68444787926
5412,Austin,470302.11705373327
1159,Houston,1202776.058372443
319,New York,1368424.1776349265
2252,Dallas,412225.4575224751
982,New York,1617805.1037574422
2190,Whitehall,172468.75893228373
2231,Los Angeles,1237763.8671875023
10326,Tolar,197760.40800347266
12560,Paxton,120149.65649641215
3549,South Pasadena,778673.1778143111
9842,Wallis,178694.51048121872
2801,Longview,157041.49437855295
12892,Good Hope,80766.37471091852
2977,Bastrop,222015.20378558696
10860,Londonderry,93365.8308093594
6187,O'Hara Township,237727.10629966593
4182,Beverly Hills,2810115.110052989
7790,West Columbia,163172.80745545466
1736,West Hollywood,1608648.4120716783
5661,Beverly Hills,1799949.3332781666
5511,Castle Shannon,149217.3403843847
355,New York,1091782.8120775002
10702,Yale,73282.99189012412
7810,Austin,706932.110487365
2954,Columbus,163185.08142142475
8312,Dallas,165092.400116962
12365,Duck River,140681.77074616303
5890,Santa Fe,200998.4294385856
32,Los Angeles,1168935.5840494442
7022,Smithville,184930.42573102636
4172,London,110535.72954631085
7133,Pauls Valley,64590.19616075522
1620,San Antonio,161677.16023224161
6292,Olive Hill,62104.33110742341
4568,Pittsburgh,168017.84496997047
6760,Storm Lake,123047.62372290535
3663,Houston,1188791.4536945077
501,Los Angeles,1216044.959742973
10640,Manson,108118.46839967556
12527,Kinta,75040.26678640115
11224,Mount Olivet,91493.02924365047
10151,Mead,107519.10552248359
5739,Pasadena,949780.889191077
5217,Aledo,355284.5340937294
1096,Los Angeles,1111958.312901942
5789,Pittsburgh,176430.89465656862
89,New York,1358914.8040715794
4289,Carnegie,144853.47864195242
5709,Berkeley,1281844.475060535
12884,Sparks,106337.78052832176
10779,Ross,1908801.4081058318
1677,Los Angeles,1293171.1764732494
5918,Grayson,76954.93694523108
116,Los Angeles,682021.5917006516
13179,Ames,76165.10364222122
5567,Cortez,207542.50797776046
847,San Francisco,1799676.928739686
3356,Prosper,450786.92357760936
10138,Fairland,92319.32902881244
3735,Hermosa Beach,1175036.220724102
2302,Los Angeles,1039704.672000407
3922,Houston,210173.40148680407
11925,Morris Township,219000.6797892004
5014,Webster,226070.39611069715
10579,Cripple Creek,184305.6276939517
2970,Philadelphia,248855.91013058642
1800,Houston,187913.68023885926
12091,Asher,80431.72039779794
3595,Seabrook,255460.91055743673
5496,Del Mar,1325075.7153994031
2100,Los Angeles,1229742.9278647734
9790,Talihina,61934.66791371702
8557,Atherton,4354829.7284790715
4714,Town Of Amherst,317995.67410143826
5671,Austin,475506.9486114406
12931,Winside,118367.19607592007
11334,Quinton,56454.8675948517
