,City,1997
1675,Pittsburgh,60491.10968238046
5343,Pittsburgh,58611.77874023744
699,Richardson,147721.20186488642
1512,Bedford,140483.86596444238
2272,Austin,162326.42871663586
12471,Dover,34776.23414310097
6256,Pittsburgh,52797.4503104321
7709,Eufaula,28596.987666570414
9798,Pollok,63540.8905309807
13846,Gene Autry,35115.632656894784
13313,Creston,65900.83985335102
1367,Fort Worth,127969.66404096164
12074,Newell,72520.12573735438
5659,Pittsburgh,65939.76603783731
11830,Wanette,29877.64003842309
2968,Pittsburgh,53986.80299256853
2112,Lufkin,58619.69266979003
7992,Oklahoma City,81613.7861128566
3207,Lufkin,56793.98319331072
12422,Tryon,33423.63019043206
2269,Highland Village,166319.12494919432
1020,Dallas,222728.68810391126
10920,Haworth,26911.302145644422
13236,Linn Grove,55171.74882694666
13831,Omega,55815.13407976287
8417,Wilburton,27997.437554007593
1780,Austin,204690.0470845849
12373,Coleman,42056.94835500216
11838,Paden,37345.20450723238
3164,Austin,244790.87646869264
10537,Red Rock,101388.65666993977
12246,Milburn,39929.5248651847
12873,Hodgen,27133.53513205159
3974,Buffalo,79754.84142125372
4140,Denton,154890.77564185145
11956,Aurelia,65186.0200579306
7929,Diboll,54998.11210520238
504,Little Elm,145262.57938551382
11426,Hinton,102500.94601781656
10120,Crown City,57945.117733186125
11621,Cartwright,44750.432014527185
1492,Flower Mound,180403.60012191808
5575,Leitchfield,64917.54550371603
1660,Roanoke,208350.8491043155
7567,Adkins,114269.07943177265
507,Austin,246217.6175410265
3279,Pittsburgh,67864.60489741905
5723,Buffalo,154486.53193698014
10202,Lily,38002.700020284086
24,Cedar Park,169085.5082386162
12846,Mill Creek,38653.069333968815
11126,Okarche,51734.765193889885
13137,Carter,45336.537958879504
4531,Pasadena,116156.78983375814
8000,Lytle,99440.22859046867
13328,Chester,39268.37626997621
7971,Kingfisher,55958.39162351706
13051,Monroe,57241.34705017409
10869,Sharon,42517.94641101778
10679,Elmore City,30754.882237805024
9,Pflugerville,151444.23230332907
11080,Freedom,45310.450844750536
11509,Ninnekah,44662.464753812696
5081,London,49896.459355781975
11385,Fort Cobb,35723.319272569686
1116,Dallas,282438.7026628548
3435,Richardson,216074.38121174305
3973,Houston,124137.87460839534
10704,Convoy,57474.61515726296
8472,Wayne,70581.38600611361
10430,Seaman,71723.53982999298
2087,Keller,214794.08572875988
10776,Adairville,46680.09504039216
13856,Parlin,153119.24224422598
12257,Gravel Switch,36079.313818232855
3115,Fort Worth,218374.95869223113
1256,Coppell,228729.9318651225
13651,Carrier,53848.789294428985
2297,Frisco,216756.36451394684
11549,Raccoon,14551.852497504478
4822,Lackawanna,58588.989291996746
6367,Le Mars,96109.73970387931
11803,Liverpool,48060.25705031403
2706,Houston,91152.53361681098
6896,San Marino,-103711.1991138313
12566,Darden,41648.174416800735
4914,Dripping Springs,213710.6039073107
13382,Fairmont,36077.11178482897
13038,Castle,34747.95061561517
2971,Austin,592592.4234767539
434,New York,-9311.765030905632
11179,Allen,31083.55449613156
2419,Brentwood,76540.6177926113
5362,Swissvale,63094.8202740404
8376,Pinehurst,123227.80627262268
2436,Austin,380292.8837953839
5609,Huron,48519.559236216555
59,Dallas,189359.8180039345
1915,Santa Monica,-74446.97593065731
11934,Bennington,40576.43529034491
2309,Katy,126079.4021995682
10788,Stonewall,31412.570473672127
9944,Paige,97933.6099760144
3746,Southlake,412649.67795451905
6349,Carroll,81051.2927460372
12548,Gracemont,33150.38910752391
12687,Olmstead,59906.791648007355
13271,Marathon,23854.42739006527
1785,Buda,147941.833210368
1356,Oakland,-26886.448256714237
6467,Aspen,1783876.952918226
12692,Verden,29763.756394145224
2628,Pittsburgh,113762.76216481654
1850,Manhattan Beach,-24920.799019217666
4383,Marble Falls,136400.76380568993
