,City,2008
1675,Pittsburgh,102671.7300306815
5343,Pittsburgh,99301.70617556912
699,Richardson,188163.93830221484
1512,Bedford,173839.6602885477
2272,Austin,195544.91229500645
12471,Dover,50957.07713724749
6256,Pittsburgh,98361.69861876707
7709,Eufaula,48779.096478613465
9798,Pollok,88709.34233828826
13846,Gene Autry,46890.2883069471
13313,Creston,88173.65633267935
1367,Fort Worth,166280.94665593078
12074,Newell,95364.87573344988
5659,Pittsburgh,86562.87568399438
11830,Wanette,49349.91911718377
2968,Pittsburgh,103105.1969983657
2112,Lufkin,84010.02214914872
7992,Oklahoma City,139689.65467544872
3207,Lufkin,78646.75922331233
12422,Tryon,54889.64381986887
2269,Highland Village,210208.61985412415
1020,Dallas,278230.7750968157
10920,Haworth,38754.72023252377
13236,Linn Grove,67004.17144454097
13831,Omega,88295.15089875039
8417,Wilburton,41890.303715618735
1780,Austin,230031.0014540216
12373,Coleman,73217.49433636255
11838,Paden,49269.99053463302
3164,Austin,289092.93936749594
10537,Red Rock,148332.64846477774
12246,Milburn,70490.70083382861
12873,Hodgen,43245.288295970684
3974,Buffalo,116820.93144068074
4140,Denton,194900.96092244735
11956,Aurelia,75487.33088148216
7929,Diboll,67592.59289922834
504,Little Elm,175647.0525320244
11426,Hinton,138620.9369558222
10120,Crown City,70907.28759055391
11621,Cartwright,65809.59624454405
1492,Flower Mound,225932.12730281692
5575,Leitchfield,76160.18054084222
1660,Roanoke,260415.9850778977
7567,Adkins,169924.73890676227
507,Austin,323553.7716675892
3279,Pittsburgh,98182.75529769274
5723,Buffalo,233742.43679576946
10202,Lily,56097.67254411415
24,Cedar Park,204700.91484790124
12846,Mill Creek,48312.383023503186
11126,Okarche,87468.8294877698
13137,Carter,64411.48596076619
4531,Pasadena,158225.57362870342
8000,Lytle,124317.16540815074
13328,Chester,64703.94235049874
7971,Kingfisher,90739.80601961374
13051,Monroe,78812.98059736508
10869,Sharon,50999.167070792464
10679,Elmore City,50515.6823340992
9,Pflugerville,173648.32737138474
11080,Freedom,129145.99231859726
11509,Ninnekah,62281.516849019805
5081,London,73728.24173689199
11385,Fort Cobb,48211.17191090861
1116,Dallas,351108.4206789115
3435,Richardson,249595.1285137725
3973,Houston,157934.00392115882
10704,Convoy,74903.65328483742
8472,Wayne,93103.53563495312
10430,Seaman,77080.01627636762
2087,Keller,263261.5349495209
10776,Adairville,67905.49412436945
13856,Parlin,206027.5527183482
12257,Gravel Switch,59388.564522761604
3115,Fort Worth,296572.15565121506
1256,Coppell,279594.6794131051
13651,Carrier,78108.03515036564
2297,Frisco,278055.7053206932
11549,Raccoon,24481.626978966942
4822,Lackawanna,79040.91153805147
6367,Le Mars,121631.6335172784
11803,Liverpool,88188.64430549188
2706,Houston,119272.24354570975
6896,San Marino,516483.24821547477
12566,Darden,56536.969173220205
4914,Dripping Springs,299119.06765696197
13382,Fairmont,55026.62220447292
13038,Castle,63998.532450920524
2971,Austin,723964.8295783671
434,New York,655404.6829851929
11179,Allen,46519.14387460176
2419,Brentwood,102688.63938729338
5362,Swissvale,101684.48809842452
8376,Pinehurst,165053.91624773247
2436,Austin,482864.0764361792
5609,Huron,70797.76370158247
59,Dallas,227592.69634166785
1915,Santa Monica,622171.0897495573
11934,Bennington,71385.52454340027
2309,Katy,159558.72932101946
10788,Stonewall,50306.868765758016
9944,Paige,150970.54269033278
3746,Southlake,500970.4443627653
6349,Carroll,111879.21141257086
12548,Gracemont,50174.201711569265
12687,Olmstead,84849.31898953562
13271,Marathon,49308.70779480608
1785,Buda,185972.7741752336
1356,Oakland,485781.6128399327
6467,Aspen,3098338.36530858
12692,Verden,39998.3970678771
2628,Pittsburgh,214971.52661911352
1850,Manhattan Beach,638922.0867430824
4383,Marble Falls,179049.59793898684
9741,Hennessey,61825.63778492106
12312,Bath Springs,77455.36879829192
6197,Shaler Township,114986.10205821856
281,Los Angeles,462049.2162516261
911,Los Angeles,882831.5406997931
12359,Malcolm,167162.35505153553
7281,Beverly Hills,587773.3265882286
9284,Los Angeles,802984.5925074772
