,RegionName,State,year_pct_roi,5_year_pct_roi,total_pct_roi,acc_2019
4,20002,DC,0.011500861012593996,0.2769984887491034,4.571322381624916,-0.001327513877678496
55,20011,DC,0.04340384472649002,0.3599767045443552,3.452891986062718,-0.0013215553989015655
69,20001,DC,0.021757885932341507,0.24286055299056225,5.242908112534363,-0.015258055537792237
97,20019,DC,0.07669418965429545,0.48475024062160255,2.36480364538719,-0.05531472419853987
119,29445,SC,0.040506461570658715,0.3103511892995981,1.2677431125706988,-0.018243385546939616
145,20020,DC,0.08177233620822506,0.4921952024042955,2.0319851654366587,-0.04684995143280215
289,72701,AR,0.042581427432559514,0.30198993704692867,1.2561620627672982,-0.0197266226219368
440,20003,DC,0.016347176396804188,0.19013185991530418,3.771974372789493,-0.012787232745000505
458,20008,DC,0.05174150677856601,0.132492464853312,2.558201197599742,-0.02936826372610377
559,72703,AR,0.03933794453450318,0.29230050417246173,1.0054802374207474,-0.02770894918353404
627,29461,SC,0.02860483863823605,0.2580529822850642,1.4573188152757055,-0.00697804268839548
653,19966,DE,0.01744336189693626,0.12436761132202745,1.5226088728062943,-0.02183475568545104
686,96753,HI,0.030613207486215013,0.2032476290768864,1.9838301151945288,-0.020290963950899674
738,26508,WV,0.04435269503181218,0.16340459269448265,1.0344519426719674,-0.005287379938652015
750,20016,DC,0.047568911877752265,0.14297119016939294,2.2949013636668982,-0.01840550663348101
850,29486,SC,0.026551679080099307,0.25711938809799395,1.4166726480389644,-0.00034267952010939715
877,29456,SC,0.04535304783888342,0.3444469818071097,1.298678403672547,-0.009386382940452442
918,71270,LA,0.040279738226613626,0.20894754501733587,1.995676594486734,-0.007453195542937363
980,71901,AR,0.040860071002746336,0.24446402114283425,1.1565844942143886,-0.044520665580772924
998,20007,DC,0.0349944858358756,0.13636551555260154,2.4418044649285666,-0.008711805578103365
1501,29169,SC,0.05667393533293861,0.22104112606486387,1.0258170794169355,-0.0254458154618492
1569,29405,SC,0.07734744087060208,0.6290096196638253,1.0732096954557997,-0.02667908255185863
1871,20024,DC,0.028210047810277934,0.2842998435364999,2.2313563775305716,-0.042445965580824856
1874,71220,LA,0.028037383177570093,0.09220500988793671,1.016122899079778,-0.0031796192306353067
1933,96761,HI,0.0025725031279718808,0.18217821207654902,2.0393212121212123,-0.001746439070955682
2106,29706,SC,0.053008904634239754,0.3420739520410031,1.098683268928009,-0.017929154569322373
2448,96746,HI,0.07337027384955745,0.2508212936517079,1.85663222259519,-0.031490289577893744
2519,20015,DC,0.03651911995576882,0.14921446134984537,2.4321292032641693,-0.050063924222343514
2528,96768,HI,0.013797232517054002,0.2638697557921102,2.0080118269826888,-0.001967994307089668
2624,96766,HI,0.07887584015228345,0.24781333294853217,2.012136864419431,-0.015656337766317623
2707,19956,DE,0.012260831049739353,0.2081234787357023,1.8803911248995873,-0.020032476159432433
2724,29631,SC,0.08386324656662579,0.3483332197507824,1.2885972327267874,-0.019060121751520748
2746,20012,DC,0.015687972424843048,0.1838203965200995,2.299035789473684,-0.03476377968005017
2889,29620,SC,0.061096268007422405,0.28206750269787517,1.1503557608288604,-0.016773305434795268
2894,19970,DE,0.014689808020967324,0.052719458175917396,1.0318582251540307,-0.0023679623655468696
2951,72207,AR,0.005851047796395593,0.1856861421357874,1.1029907078685517,-0.005004437317500556
3319,29054,SC,0.05718882128493349,0.20521514225252763,1.3469043890735604,-0.017476925246377846
3331,29654,SC,0.09039026973720254,0.39834418473933203,1.3551001893341748,-0.014504459586555453
3357,26354,WV,0.046230590880348484,0.35421971626045834,1.762879584389882,-0.04151292511700316
3360,72740,AR,0.047062347314132745,0.18468430305212546,1.0713822794185723,-0.02544910166395833
3393,72753,AR,0.04508430422751637,0.3005318354298007,1.0639907060552896,-0.03436485977105836
3439,29670,SC,0.05113121586290803,0.2828562853442012,1.169948698765564,-0.011586145477748859
3510,19945,DE,0.0058882067015624045,0.13329096862718115,1.3746448532342739,-0.008905932866883301
